Date,southern,northern,central,east_coast,borneo,temp_s,rain_s,rh_s,temp_n,rain_n,rh_n,temp_c,rain_c,rh_c,temp_ec,rain_ec,rh_ec,temp_b,rain_b,rh_b
17/2/2009,3,3,13,6,66,27.88666667,76.26,3.24,28.39166667,74.425,1.866666667,27.66666667,76.76666667,4.333333333,26.53777778,85.36666667,51,27.26309524,80.8047619,0
18/2/2009,2,2,10,0,49,27.26,72.85333333,0,28.64166667,71.95833333,0.9,27.9,75.9,4.066666667,26.60222222,81.20888889,1.666666667,27.80357143,80.0702381,4.775
19/2/2009,1,1,10,1,61,27.72666667,73.69333333,0.88,28.73333333,70.33333333,0,28.1,73.8,2,26.33333333,82.17777778,1.4,27.70595238,81.38452381,9.908333333
20/2/2009,2,0,3,0,83,27.7,72.70666667,0,28.20416667,73.5,4.65,28.63333333,67.83333333,0,26.40666667,84.32222222,9.075555556,26.99285714,85.24404762,11.50416667
21/2/2009,0,0,3,0,29,27.03333333,77.34,7.453333333,27.85416667,76.97083333,3.9,27.46666667,76.96666667,14.26666667,26.40444444,87.30888889,20.28,26.6047619,86.85595238,8.558333333
22/2/2009,1,2,3,1,25,26.68666667,81.66,22.90666667,26.95416667,80.89583333,15.14166667,25.83333333,86.43333333,7.733333333,26.20888889,87.58222222,9.737777778,26.48571429,86.71904762,19.17916667
23/2/2009,5,1,8,3,77,26.32,87.06666667,25.25333333,27.36666667,78.94583333,6.875,26.13333333,82.96666667,12,26.30222222,85.98666667,15.93333333,26.51904762,85.75833333,16.85
24/2/2009,7,1,6,5,72,26.42,85.68666667,11.36,27.68333333,78.72916667,9.016666667,26.13333333,84.3,48.26666667,26.47777778,84.26888889,3.484444444,26.69880952,83.81190476,4.8625
25/2/2009,1,4,8,1,53,26.46,86.62,16.77333333,27.3375,81.47083333,1.458333333,26.23333333,84.3,8.266666667,26.62888889,82.83333333,3.688888889,27.01428571,85.03571429,16.45
26/2/2009,0,3,12,3,76,26.52666667,86.5,27.48,27.725,79.175,8.958333333,26.06666667,86.76666667,27,26.61333333,83.53,6.795555556,26.63452381,85.62738095,8.375
27/2/2009,0,0,7,1,44,27.21333333,81.87333333,0,27.55,80.275,15.575,26.2,82.2,0,26.66888889,82.53333333,1.573333333,27.1452381,84.77380952,8.175
28/2/2009,2,1,3,0,44,26.75333333,84.31333333,9.306666667,26.67083333,84.32916667,5.733333333,27.1,79.2,3.266666667,26.46,84.65555556,13.86222222,26.89880952,84.25714286,4.683333333
1/3/2009,0,1,2,0,29,26.68,83.46666667,5.4,27.11666667,82.91666667,13.85,26.83333333,81.63333333,38.86666667,25.9,86.36888889,11.74222222,27.02142857,84.33452381,12.91666667
2/3/2009,4,3,9,3,104,27.15333333,83.15333333,8.48,26.41666667,87.07916667,18.09166667,27.03333333,82.5,1.866666667,25.95777778,87.38666667,39.13777778,26.55238095,86.35952381,6.791666667
3/3/2009,3,2,11,1,61,25.98333333,87.58,6.68,26.89166667,82.76666667,4.6,26.56666667,83.46666667,16.86666667,24.98444444,88.78444444,14.44888889,27.25952381,83.66071429,5.979166667
4/3/2009,4,3,10,0,76,27.45833333,80.38,4.573333333,27.48333333,82.84583333,3.591666667,28.06666667,77.43333333,0.133333333,26.33333333,84.42,5.324444444,26.68095238,85.15952381,2.733333333
5/3/2009,5,5,7,3,59,26.86666667,86.98666667,6.866666667,27.36666667,83.9375,11.85,26.3,88.16666667,7.266666667,26.89333333,84.46222222,6.444444444,27.51428571,80.95595238,1.166666667
6/3/2009,4,1,6,0,78,27.34666667,82.88666667,3.266666667,27.525,83.44583333,11.25,27.3,81.8,2.466666667,26.96222222,84.25555556,6.813333333,27.60238095,82.25357143,8.55
7/3/2009,2,5,3,2,44,26.91333333,85.52666667,14.81333333,27.15416667,84.7625,10.04166667,26.56666667,85.26666667,15.4,26.40666667,87.23111111,19.37333333,27.6702381,82.21428571,4.525
8/3/2009,0,2,0,2,30,26.87333333,76.09333333,0,27.26666667,82.41666667,5.05,27.83333333,72.8,0,26.72222222,82.58,2.653333333,26.875,85.84047619,10.15833333
9/3/2009,1,1,6,0,47,25.36,88.86666667,32.61333333,25.9375,86.67916667,12.45833333,25.53333333,84.63333333,8.466666667,26.22666667,83.15777778,7.053333333,26.36785714,86.45952381,14.14583333
10/3/2009,10,2,21,1,111,26.45333333,84.10666667,6.08,27.36666667,81.1125,2.225,27.1,77.86666667,5.4,26.59777778,79.21111111,0.426666667,27.07142857,83.45119048,12.675
11/3/2009,14,5,13,4,65,26.46,86.85333333,20.52,27.60833333,79.4,4.316666667,26.23333333,84.13333333,3.666666667,26.64222222,81.84888889,3.173333333,26.04880952,86.85238095,18.7125
12/3/2009,4,1,15,3,64,26.71333333,79.34666667,2.813333333,27.62916667,79.82916667,4.316666667,27.4,78.3,7.933333333,27.14888889,78.46444444,4.56,26.22619048,83.08333333,11.7875
13/3/2009,6,6,17,0,64,25.72666667,88.88666667,8.453333333,27.8,79.37083333,2.708333333,26.13333333,84.56666667,8.4,26.6,82.27777778,9.76,25.89642857,86.65238095,12.35833333
14/3/2009,3,1,1,0,34,26.13333333,82.05333333,5.146666667,27.78333333,77.54166667,10.06666667,26.23333333,82.23333333,3.4,24.92,84.28222222,10.76888889,25.96666667,86.24166667,34.19166667
15/3/2009,5,1,4,2,46,26.52666667,81.51333333,0.826666667,27.29583333,78.46666667,5.466666667,26.53333333,80.53333333,25.2,23.75555556,87.18888889,30.79555556,26.01071429,85.19404762,3.15
16/3/2009,7,7,28,3,59,26.24666667,87.02,9.933333333,27.2625,78.56666667,2.358333333,26.4,83.16666667,0.2,24.38,85.60222222,11.28,27.08690476,82.62857143,7.358333333
17/3/2009,3,5,15,2,44,27.1,82.6,1.413333333,26.95833333,80.97083333,15.24166667,26.83333333,81.06666667,19.33333333,25.94222222,83.57555556,2.275555556,26.69047619,84.54166667,6.783333333
18/3/2009,2,2,10,2,53,27.76,77.06666667,3.133333333,27.16666667,81.17916667,3.15,26.73333333,77.53333333,1.733333333,26.80444444,82.35111111,9.6,26.94285714,84.16547619,5.191666667
